target,ip address,domain name,type
admin.htc.com,82.112.115.38,admin.htc.com,host
asia.htc.com,210.64.124.195,asia.htc.com,host
az.htc.com,23.99.116.243,az.htc.com,alias
az.htc.com,23.99.116.243,htcazns01.cloudapp.net,host
b2b.htc.com,219.87.71.18,b2b.htc.com,host
bbs.htc.com,49.79.233.25,bbs.htc.com,alias
bbs.htc.com,49.79.233.25,bbs.htc.com.wscdns.com,alias
bbs.htc.com,49.79.233.25,1st.attackdta9.ourwebat.com,host
bi.htc.com,146.148.38.7,bi.htc.com,host
blog.htc.com,23.205.216.167,blog.htc.com,alias
blog.htc.com,23.205.216.167,www.htc.com.edgekey.net,alias
blog.htc.com,23.205.216.167,www.htc.com.edgekey.net.globalredir.akadns.net,alias
blog.htc.com,23.205.216.167,e2805.b.akamaiedge.net,host
careers.htc.com,23.65.124.24,careers.htc.com,alias
careers.htc.com,23.65.124.17,careers.htc.com.edgesuite.net,alias
careers.htc.com,23.65.124.24,a838.b.akamai.net,host
careers.htc.com,23.65.124.17,a838.b.akamai.net,host
ci.htc.com,63.241.29.6,ci.htc.com,host
citrix.htc.com,220.128.71.70,citrix.htc.com,host
cl.htc.com,23.205.216.140,cl.htc.com,alias
cl.htc.com,23.205.216.140,wildcard.htc.com.edgekey.net,alias
cl.htc.com,23.205.216.140,wildcard.htc.com.edgekey.net.globalredir.akadns.net,alias
cl.htc.com,23.205.216.140,e2778.b.akamaiedge.net,host
community.htc.com,23.205.216.167,community.htc.com,alias
community.htc.com,23.205.216.167,community.htc.com.edgekey.net,alias
community.htc.com,23.205.216.167,e2805.b.akamaiedge.net,host
connect.htc.com,60.199.250.31,connect.htc.com,host
demo.htc.com,60.199.250.31,demo.htc.com,host
developer.htc.com,60.199.250.31,developer.htc.com,host
download.htc.com,82.112.115.41,download.htc.com,host
europe.htc.com,60.199.250.31,europe.htc.com,host
extranet.htc.com,82.112.121.39,extranet.htc.com,host
gm.htc.com,220.128.71.42,gm.htc.com,host
investors.htc.com,23.57.69.78,investors.htc.com,alias
investors.htc.com,115.112.0.14,phx.corporate-ir.net,alias
investors.htc.com,23.57.69.78,www.corporate-ir.net.edgesuite.net,alias
investors.htc.com,23.57.69.78,a121.g.akamai.net,host
investors.htc.com,115.112.0.14,a121.g.akamai.net,host
japan.htc.com,60.199.250.31,japan.htc.com,host
m.htc.com,23.65.124.10,m.htc.com,alias
m.htc.com,23.65.124.17,m.htc.com.edgesuite.net,alias
m.htc.com,23.65.124.10,a1051.b.akamai.net,host
m.htc.com,23.65.124.17,a1051.b.akamai.net,host
mail2.htc.com,82.112.115.43,mail2.htc.com,host
media.htc.com,23.57.69.78,media.htc.com,alias
media.htc.com,23.212.50.40,media.htc.com.edgesuite.net,alias
media.htc.com,23.57.69.78,a1284.g.akamai.net,host
media.htc.com,23.212.50.40,a1284.g.akamai.net,host
member.htc.com,82.112.121.44,member.htc.com,host
mobile.htc.com,23.205.216.167,mobile.htc.com,alias
mobile.htc.com,23.205.216.167,mobile.htc.com.edgekey.net,alias
mobile.htc.com,23.205.216.167,mobile.htc.com.edgekey.net.globalredir.akadns.net,alias
mobile.htc.com,23.205.216.167,e2805.b.akamaiedge.net,host
music.htc.com,63.241.29.10,music.htc.com,alias
music.htc.com,63.241.29.10,media1.htc.com,host
news.htc.com,109.238.53.128,news.htc.com,host
pgp.htc.com,122.147.128.179,pgp.htc.com,host
recruiting.htc.com,219.87.71.28,recruiting.htc.com,host
research.htc.com,63.241.29.10,research.htc.com,alias
research.htc.com,63.241.29.10,media1.htc.com,host
s.htc.com,67.199.248.12,s.htc.com,alias
s.htc.com,67.199.248.12,cname.bitly.com,host
s.htc.com,67.199.248.13,cname.bitly.com,host
search.htc.com,63.241.29.10,search.htc.com,alias
search.htc.com,63.241.29.10,media1.htc.com,host
secure.htc.com,12.130.71.137,secure.htc.com,alias
secure.htc.com,12.130.71.137,originatt.htc.com,host
service.htc.com,23.57.69.81,service.htc.com,alias
service.htc.com,23.57.69.81,service.htc.com.edgesuite.net,alias
service.htc.com,23.212.50.100,a813.g.akamai.net,host
service.htc.com,23.57.69.81,a813.g.akamai.net,host
shop.htc.com,67.216.238.47,shop.htc.com,alias
shop.htc.com,81.21.150.202,store.us.htc.com,alias
shop.htc.com,67.216.238.47,store.us.htc.com.wipext.digitalriverws.com,host
so.htc.com,152.104.170.205,so.htc.com,host
social.htc.com,160.34.0.153,social.htc.com,alias
social.htc.com,160.34.0.153,social.htc.com.srm.vitrue.com,alias
social.htc.com,160.34.0.153,emcee.vitrue.com,alias
social.htc.com,160.34.0.153,srm-emcee.us2.cloud.oracle.com,host
sqa.htc.com,207.46.128.144,sqa.htc.com,alias
sqa.htc.com,207.46.128.144,htcamscsdwap100.cloudapp.net,host
start.htc.com,23.205.216.140,start.htc.com,alias
start.htc.com,23.205.216.140,wildcard.htc.com.edgekey.net,alias
start.htc.com,23.205.216.140,wildcard.htc.com.edgekey.net.globalredir.akadns.net,alias
start.htc.com,23.205.216.140,e2778.b.akamaiedge.net,host
store.htc.com,67.216.238.47,store.htc.com,alias
store.htc.com,67.216.238.47,store.us.htc.com.wipext.digitalriverws.com,host
storefront.htc.com,210.61.122.109,storefront.htc.com,host
support.htc.com,60.199.250.31,support.htc.com,host
t.htc.com,52.26.95.248,t.htc.com,host
team.htc.com,54.230.190.140,team.htc.com,alias
team.htc.com,54.230.190.89,d220vvr4wwe7tp.cloudfront.net,host
team.htc.com,54.230.190.104,d220vvr4wwe7tp.cloudfront.net,host
team.htc.com,54.230.190.226,d220vvr4wwe7tp.cloudfront.net,host
team.htc.com,54.230.190.119,d220vvr4wwe7tp.cloudfront.net,host
team.htc.com,54.230.190.140,d220vvr4wwe7tp.cloudfront.net,host
team.htc.com,54.230.190.66,d220vvr4wwe7tp.cloudfront.net,host
team.htc.com,54.230.190.88,d220vvr4wwe7tp.cloudfront.net,host
team.htc.com,54.230.190.48,d220vvr4wwe7tp.cloudfront.net,host
us.htc.com,63.241.29.10,us.htc.com,alias
us.htc.com,63.241.29.10,media1.htc.com,host
vpn.htc.com,219.87.71.89,vpn.htc.com,host
ws.htc.com,63.241.29.9,ws.htc.com,alias
ws.htc.com,63.241.29.9,rest.htc.com,host
ws1.htc.com,63.241.29.68,ws1.htc.com,host
ws2.htc.com,63.241.29.7,ws2.htc.com,host
www.htc.com,23.205.216.167,www.htc.com,alias
www.htc.com,23.205.216.167,www.htc.com.edgekey.net,alias
www.htc.com,23.205.216.167,www.htc.com.edgekey.net.globalredir.akadns.net,alias
www.htc.com,23.205.216.167,e2805.b.akamaiedge.net,host
